dossierId,postcode,district,status,basePriorityScore,finalPriorityScore,deltaScore,basePriorityLevel,finalPriorityLevel,impactScore,impactLevel,locationSource,nutsBedrijf
20251097,2000,Antwerpen,IN EFFECT,60,69,9,MIDDEL,MIDDEL,43,MIDDEL,exact,Fluvius System Operator
BONU20251098,2000,Antwerpen,IN EFFECT,60,69,9,MIDDEL,MIDDEL,43,MIDDEL,exact,Fluvius System Operator
BONU20240425,2000,Antwerpen,IN EFFECT,60,69,9,MIDDEL,MIDDEL,43,MIDDEL,exact,FLUVIUS Antwerpen
BOJV20250006,2000,Antwerpen,IN EFFECT,60,69,9,MIDDEL,MIDDEL,43,MIDDEL,exact,Fluvius System Operator
BOJV20250006,2000,Antwerpen,VERGUND,60,69,9,MIDDEL,MIDDEL,43,MIDDEL,exact,Fluvius System Operator
BONU20251739,2000,Antwerpen,VERGUND,60,69,9,MIDDEL,MIDDEL,43,MIDDEL,exact,Fluvius System Operator
BONU20251584,2000,Antwerpen,VERGUND,48,57,9,MIDDEL,MIDDEL,43,MIDDEL,exact,Fluvius System Operator
20251518,2000,Antwerpen,VERGUND,48,57,9,MIDDEL,MIDDEL,43,MIDDEL,exact,SA DPU PROXIMUS
BOJV20250006,2000,Antwerpen,VERGUND,48,57,9,MIDDEL,MIDDEL,43,MIDDEL,exact,Fluvius System Operator
BONU20251781,2000,Antwerpen,VERGUND,42,51,9,LAAG,MIDDEL,43,MIDDEL,exact,NV EUROFIBER
BONU20251183,2000,Antwerpen,VERGUND,42,51,9,LAAG,MIDDEL,43,MIDDEL,exact,BV Wyre
BONU20251240,2000,Antwerpen,IN EFFECT,36,45,9,LAAG,MIDDEL,43,MIDDEL,exact,NV AQUAFIN
BONU20251472,2000,Antwerpen,VERGUND,30,39,9,LAAG,LAAG,43,MIDDEL,exact,OPDRAVER Water-link
BONU20260073,2000,Antwerpen,VERGUND,24,33,9,LAAG,LAAG,43,MIDDEL,exact,OPDRAVER Water-link
BONU20251670,2000,Antwerpen,VERGUND,24,33,9,LAAG,LAAG,43,MIDDEL,exact,Fluvius System Operator
BONU20251270,2000,Antwerpen,VERGUND,24,33,9,LAAG,LAAG,43,MIDDEL,exact,BV Wyre
2026JVS039,2000,Antwerpen,VERGUND,24,33,9,LAAG,LAAG,43,MIDDEL,exact,Fluvius System Operator
BOJV2025-0006,2000,Antwerpen,VERGUND,24,33,9,LAAG,LAAG,43,MIDDEL,exact,Fluvius System Operator
BONU20250812,2000,Antwerpen,VERGUND,24,33,9,LAAG,LAAG,43,MIDDEL,exact,OPDRAVER Water-link
SBS_SR_infra_oss_202601,2000,Antwerpen,IN EFFECT,18,27,9,LAAG,LAAG,43,MIDDEL,exact,BVBA KLIKO Belgium
