id,dossierId,bonuNummer,referentieId,gipodId,gipodReferentie,werftype,status,sourceStatus,startDate,endDate,postcode,district,straat,huisnr,nutsBedrijf,durationDays,lat,lng,locationSource,gipodSoort,gipodType,gipodCategorie,vgwUitgestuurd,permitStatus,permitStatusSource,permitJoinConfidence,permitReferenceId,permitRefKey,permitBonuNummer,permitDossierStatus,sourceDataset
gipod-1402053-7012,GIPOD-1402053,,1402053,1402053,1106549 TT,Grondwerk,IN EFFECT,Uitgevoerd,2016-05-13,2026-05-13,2000,Antwerpen,incl. onderboring  -,80M,Telenet,3653,51.156783430579736,4.378589030868589,exact,Grondwerk,Kabel/leiding (deprecated),Categorie 1,nee,ONBEKEND_MAAR_VERWACHT,afgeleid_categorie,low,,,,,gipod_export
gipod-1449721-7011,GIPOD-1449721,,1449721,1449721,1110282 TT,Grondwerk,IN EFFECT,Uitgevoerd,2016-05-30,2026-05-30,2000,Antwerpen,incl. onderboring  -,90M,Telenet,3653,51.248471748386,4.4421626181527225,exact,Grondwerk,Kabel/leiding (deprecated),Categorie 1,nee,ONBEKEND_MAAR_VERWACHT,afgeleid_categorie,low,,,,,gipod_export
gipod-7940978-7003,GIPOD-7940978,,7940978,7940978,JS/MAW/YA/WEG-20-03765,Grondwerk,VERGUND,Niet uitgevoerd,2021-08-01,2028-01-01,2030,Antwerpen,inclusief doorsteek - (± 1350) m,,Fluvius Site Hoboken KTV,2345,51.241176500092145,4.39819392663014,exact,Grondwerk,Kabel/leiding (deprecated),Categorie 1,nee,ONBEKEND_MAAR_VERWACHT,afgeleid_categorie,low,,,,,gipod_export
gipod-13038867-6963,GIPOD-13038867,20240745,13038867,13038867,354115,Grondwerk,IN EFFECT,In uitvoering,2022-10-03,2026-12-07,2000,Antwerpen,"2050, ANTWERPEN, BLANCEFLOERLAAN: E,G en OV nieuw distributienet in verkaveling (42m)",1,Fluvius Site Antwerpen,1527,51.22134135362664,4.382366544575946,exact,Grondwerk,"Olie, gas, chemicaliën,Elektriciteit,Openbare verlichting",Categorie 2,nee,ONBEKEND,weekrapport_zonder_mapping,high,GW2024-006246,7404,20240745,Gesloten,gipod_export
gipod-16033862-6902,GIPOD-16033862,,16033862,16033862,6000031876,Grondwerk,IN EFFECT,In uitvoering,2023-02-22,2026-06-17,2060,Antwerpen,"OV, Initiatief Regio (lengte: 95m)",,Fluvius Site Antwerpen,1211,51.222170048998706,4.419753902264339,exact,Grondwerk,"Elektriciteit,Openbare verlichting",Categorie 1,nee,ONBEKEND_MAAR_VERWACHT,afgeleid_categorie,low,,,,,gipod_export
gipod-13661934-6957,GIPOD-13661934,,13661934,13661934,6000018939,Grondwerk,IN EFFECT,In uitvoering,2023-03-27,2027-01-19,2930,Brasschaat Kapelsesteenweg E,"G, Initiatief Regio (lengte: 1982m)",,Fluvius Site Antwerpen,1395,51.27845026143806,4.4534216755483165,exact,Grondwerk,"Olie, gas, chemicaliën,Elektriciteit",Categorie 1,ja,ONBEKEND_MAAR_VERWACHT,afgeleid_categorie,low,,,,,gipod_export
gipod-12473510-6973,GIPOD-12473510,BONU20230163,12473510,12473510,6000016189,Grondwerk,IN EFFECT,In uitvoering,2023-05-15,2026-12-02,2140,Borgerhout,"G, OV, Initiatief Regio",0,Fluvius Site Antwerpen,1298,51.19961411557192,4.458285464104124,exact,Grondwerk,"Olie, gas, chemicaliën,Elektriciteit,Openbare verlichting",Categorie 1,nee,IN_VOORBEREIDING,weekrapport_status,high,GW2026-000730,17732,BONU20230163,In Behandeling,gipod_export
gipod-12874961-6966,GIPOD-12874961,,12874961,12874961,6000018833,Grondwerk,IN EFFECT,In uitvoering,2023-09-11,2026-06-04,2170,Merksem,"G, OV, Initiatief Regio",,Fluvius Site Antwerpen,998,51.25447848248009,4.460562188838457,exact,Grondwerk,"Olie, gas, chemicaliën,Elektriciteit,Openbare verlichting",Categorie 1,ja,ONBEKEND_MAAR_VERWACHT,afgeleid_categorie,low,,,,,gipod_export
gipod-15485932-6925,GIPOD-15485932,BONU20240001,15485932,15485932,6000026261,Grondwerk,IN EFFECT,Uitgevoerd,2024-02-19,2026-01-21,2660,Hoboken,"G, OV, Werken Voor derden (lengte: 522m)",8,Fluvius Site Antwerpen,703,51.171668329558436,4.33720521596707,exact,Grondwerk,"Olie, gas, chemicaliën,Elektriciteit,Openbare verlichting",Categorie 1,ja,ONBEKEND,weekrapport_zonder_mapping,high,GW2024-000173,1316,BONU20240001,Gesloten,gipod_export
gipod-14362880-6952,GIPOD-14362880,BONU20240071,14362880,14362880,6000018172,Grondwerk,IN EFFECT,In uitvoering,2024-02-21,2026-05-18,2100,Deurne,"G, OV, Wegeniswerken (lengte: 2987m)",0,Fluvius Site Antwerpen,817,51.233344967965635,4.4421092305877945,exact,Grondwerk,"Olie, gas, chemicaliën,Elektriciteit,Openbare verlichting",Categorie 1,ja,ONBEKEND,weekrapport_zonder_mapping,high,GW2024-001177,2320,BONU20240071,Gesloten,gipod_export
